"istatId","population","lng","lat","ANPR","name","province","region","month","d15","d16","d17","d18","d19","d20","mar19","mar20","officialCovid","istatMarch","ecoBG","bsToday"
"1126","1781","7.51913001","45.18182357","1126","La Cassa","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1127","8631","7.66770716","44.95667810","1127","La Loggia","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1128","5150","7.47661560","45.27231992","1128","Lanzo Torinese","Torino","Piemonte","3","6","5","8","2","8","11","0","0","0","1","0","0"
"1129","1493","7.99166951","45.15845502","1129","Lauriano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1130","15320","7.71510758","45.18393696","1130","Leini","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1131","189","7.29288179","45.22855660","1131","Lemie","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1132","1982","7.81421978","45.47615621","1132","Lessolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1133","439","7.60590068","45.31810409","1133","Levone","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1134","1601","7.46126241","45.41699254","1134","Locana","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1135","1706","7.73626699","45.23570752","1135","Lombardore","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1136","1056","7.63577870","44.84160233","1136","Lombriasco","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1137","1126","7.81087110","45.44223125","1137","Loranz�","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1139","7531","7.24579065","44.81432177","1139","Luserna San Giovanni","Torino","Piemonte","3","13","9","14","14","13","15","0","0","0","1","0","0"
"1140","524","7.25023582","44.80236620","1140","Lusernetta","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1141","556","7.76646663","45.31856534","1141","Lusigli�","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1142","1238","7.40079259","44.85117887","1142","Macello","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1143","468","8.01174454","45.34770337","1143","Maglione","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1144","1383","7.87332971","45.05800482","1144","Marentino","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1145","58","7.05631276","44.95856162","1145","Massello","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1146","3985","7.54132093","45.25664137","1146","Mathi","Torino","Piemonte","3","5","1","4","6","2","6","0","0","0","1","0","0"
"1147","707","7.11215191","45.11870520","1147","Mattie","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1148","4152","7.93700162","45.29853622","1148","Mazz�","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1149","880","7.06814068","45.12073332","1149","Meana di Susa","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1150","1267","7.88256683","45.35697859","1150","Mercenasco","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1152","834","7.39502001","45.29240402","1152","Mezzenile","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1153","411","7.91954830","45.04640010","1153","Mombello di Torino","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1154","651","7.05797330","45.13990657","1154","Mompantero","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
