istat,comune,lng,lat
2148,Trino,8.29690047,45.19420619
2150,Tronzano Vercellese,8.17469273,45.34279040
2152,Valduggia,8.32785665,45.72638859
2156,Varallo,8.25621194,45.81403992
2158,Vercelli,8.42323431,45.32398135
2163,Villarboit,8.33686901,45.43665326
2164,Villata,8.43260279,45.38561063
2166,Vocca,8.18753037,45.83098292
3001,Agrate Conturbia,8.55992667,45.67598127
3002,Ameno,8.43942761,45.78878319
3006,Armeno,8.43917903,45.82196603
3008,Arona,8.55948977,45.76039239
3012,Barengo,8.51201322,45.57477500
3016,Bellinzago Novarese,8.63973111,45.57030363
3018,Biandrate,8.46370551,45.45378226
3019,Boca,8.40870545,45.67828729
3021,Bogogno,8.53449913,45.66716613
3022,Bolzano Novarese,8.44415269,45.76282586
3023,Borgolavezzaro,8.69926765,45.31838337
3024,Borgomanero,8.46298661,45.69887430
3025,Borgo Ticino,8.60392229,45.68806799
3026,Briga Novarese,8.45159151,45.73138349
3027,Briona,8.47981940,45.54219977
3030,Caltignaga,8.58791485,45.51708606
3032,Cameri,8.66224358,45.50102461
3036,Carpignano Sesia,8.41834081,45.53530620
3037,Casalbeltrame,8.46837851,45.43623977
3039,Casaleggio Novara,8.49266595,45.48630378
3040,Casalino,8.52273520,45.35768141
3041,Casalvolone,8.46436466,45.39945860
3042,Castellazzo Novarese,8.48870753,45.51399290
3043,Castelletto sopra Ticino,8.64237321,45.71405023
3044,Cavaglietto,8.50091213,45.60280053
3045,Cavaglio d'Agogna,8.48278611,45.61181220
3047,Cavallirio,8.39673650,45.66496084
3049,Cerano,8.78085515,45.41067427
3051,Colazza,8.49908518,45.79262548
3052,Comignago,8.56512314,45.71523940
3055,Cressa,8.50748369,45.64799409
3058,Cureggio,8.46136101,45.67513019
3060,Divignano,8.60149532,45.66227913
3062,Dormelletto,8.57318421,45.73016147
3065,Fara Novarese,8.45911220,45.55511789
3066,Fontaneto d'Agogna,8.48458276,45.63985923
3068,Galliate,8.69527266,45.47769535
3069,Garbagna Novarese,8.65967960,45.38665075
3070,Gargallo,8.42921545,45.72750435
3071,Gattico,8.52053275,45.70906459
3073,Ghemme,8.42009104,45.59781069
3076,Gozzano,8.43465086,45.74755669
3077,Granozzo con Monticello,8.57413671,45.36014053
3079,Grignasco,8.33970898,45.68190215
3082,Invorio,8.48673976,45.75590621
3083,Landiona,8.42216872,45.49690699
3084,Lesa,8.56484439,45.83011076
3088,Maggiora,8.42099488,45.69075412
3090,Mandello Vitta,8.45918595,45.49523236
3091,Marano Ticino,8.63193647,45.62982409
3093,Massino Visconti,8.53880817,45.82190383
3095,Meina,8.53760183,45.79003479
3097,Mezzomerico,8.60462006,45.62028414
3098,Miasino,8.43036112,45.80218966
3100,Momo,8.55537053,45.57391222
3103,Nebbiuno,8.52423877,45.80607594
3104,Nibbiola,8.65635253,45.37178540
3106,Novara,8.62191588,45.44588506
3108,Oleggio,8.63736389,45.59668789
3109,Oleggio Castello,8.52971174,45.74931605
3112,Orta San Giulio,8.40568474,45.79916255
3114,Paruzzaro,8.51345761,45.74868723
3115,Pella,8.38311698,45.79707067
3116,Pettenasco,8.40857519,45.81732142
3119,Pisano,8.51043727,45.79354856
3120,Pogno,8.38307485,45.75667233
3121,Pombia,8.63238880,45.64926665
3122,Prato Sesia,8.37377395,45.64787501
3129,Recetto,8.43608827,45.46080638
3130,Romagnano Sesia,8.38287620,45.63335002
3131,Romentino,8.72085352,45.46260428
3133,San Maurizio d'Opaglio,8.39095810,45.77247196
3134,San Nazzaro Sesia,8.42356660,45.43813129
3135,San Pietro Mosezzo,8.54347212,45.45561012
3138,Sillavengo,8.44052712,45.52045483
3139,Sizzano,8.43733340,45.57734631
3140,Soriso,8.40936492,45.74226936
3141,Sozzago,8.72097747,45.39781780
3143,Suno,8.54092449,45.63114506
3144,Terdobbiate,8.69509702,45.37635291
3146,Tornaco,8.71790663,45.35736427
3149,Trecate,8.73505551,45.43190444
3153,Vaprio d'Agogna,8.55405064,45.60353491
3154,Varallo Pombia,8.63305280,45.66670204
3157,Veruno,8.53051508,45.69094068
3158,Vespolate,8.66903813,45.34947293
3159,Vicolungo,8.46131719,45.47882953
3164,Vinzaglio,8.51840535,45.32365543
4001,Acceglio,6.99122231,44.47580767
4002,Aisone,7.22083358,44.31344859
4003,Alba,8.03569894,44.70092208
4004,Albaretto della Torre,8.06408216,44.59591514
4005,Alto,8.00368552,44.10828374
4006,Argentera,6.96937784,44.37958880
4007,Arguello,8.11067964,44.58292710
4008,Bagnasco,8.04258299,44.30207165
4009,Bagnolo Piemonte,7.31548217,44.75990270
4010,Baldissero d'Alba,7.91574918,44.75871300
4011,Barbaresco,8.08046453,44.72554836
4012,Barge,7.32339364,44.72522006
4013,Barolo,7.94180811,44.60988256
4014,Bastia Mondovì,7.89332172,44.44138607
4015,Battifollo,8.00948124,44.31917111
4016,Beinette,7.64570648,44.36566802
4017,Bellino,7.01716043,44.58060554
4018,Belvedere Langhe,7.97416757,44.49456526
