Codice comune,Popolazione al 1/1/19
13044,1168
13045,2960
13046,4512
13047,3177
13048,6635
13052,1649
13053,4974
13055,3351
13058,1287
13059,889
13062,208
13063,536
13064,9236
13065,6701
13068,2136
13071,550
13074,506
13075,82522
13077,831
13083,677
13084,3408
13085,223
13087,619
13089,1479
13090,3356
13092,252
13095,16323
13097,2592
13098,1207
13099,4763
13100,3231
13101,5148
13102,9860
13106,739
13107,1037
13110,2842
13111,1313
13113,633
13114,5805
13118,9186
13119,918
13120,525
13121,2538
13123,473
13126,2050
13128,3853
13129,5971
13130,171
13131,4355
13133,9988
13134,1918
13135,2724
13136,5366
13137,2626
13138,9846
13139,676
13143,25191
13144,3331
13145,3101
13147,4106
13152,1598
13153,2370
13154,5274
13155,224
13157,2549
13159,8960
13160,972
13161,1212
13163,2853
13165,11682
13169,2379
13170,2736
13178,191
13183,1042
13184,235
13185,832
13186,681
13187,239
13188,4326
13189,4964
13192,927
13193,1372
13195,295
13197,1333
13199,1716
13201,7804
13202,6144
13203,507
13204,996
13206,7820
13207,298
13211,858
13212,3182
13216,1263
13217,646
13218,598
13222,5805
13223,1153
13226,231
13227,9507
13228,4957
13229,2639
13232,2683
13233,164
13234,1530
13236,218
13238,3053
13239,747
13242,4138
13245,8018
13246,199
13248,1724
13249,4197
13250,3707
13251,5416
13252,5141
13253,2946
13254,3546
13255,4658
14001,291
14002,3011
14003,563
14004,1555
14005,3260
14006,123
14007,4130
14008,1315
14009,4179
14010,2011
14011,1094
14012,936
14013,1374
14014,613
14015,1598
14016,434
14017,782
14018,7319
14019,2461
14020,2543
14021,340
14022,1107
14023,1386
14024,5528
14025,448
14026,3282
14027,3686
14028,557
14029,797
14030,582
14031,172
14032,1964
14033,4425
14034,1644
14035,519
14036,1313
14037,6636
14038,653
14039,747
14040,989
14041,945
14043,1806
14044,2996
14045,12405
14046,1899
14047,38
14048,1390
14049,2139
14050,1915
14051,1871
14052,2291
14053,676
14054,2959
14055,290
14056,558
14057,2880
14058,354
14059,489
14060,4071
14061,21590
14062,84
14063,4676
14064,199
14065,4561
14066,9011
14067,749
14068,640
14069,2798
14070,1988
14071,4150
14072,3637
14073,2566
14074,881
14075,1103
14076,212
14077,965
14078,2946
15002,32610
15005,4702
15007,6628
15009,19495
15010,12027
15011,9151
15012,17344
15014,3680
15015,8010
15016,3869
15019,3033
15022,2060
15024,7259
15026,4131
15027,36564
15032,26300
15035,2400
15036,27102
15038,4697
15040,8439
15041,13891
15042,1228
15044,7023
15046,12679
15050,4194
15051,15556
15055,4074
15058,5465
15059,19079
15060,13891
15061,1870
15062,11207
15070,34604
15071,5127
15072,15237
15074,23970
15076,14453
15077,75581
15078,4865
15081,47682
15082,2083
15085,18420
15086,20178
15087,20544
15093,34715
15096,8271
15097,4110
15098,18827
15099,6441
15101,3043
15103,9164
15105,27385
15106,8767
15108,20741
15110,3011
15112,1651
15113,8633
15114,10943
15115,9012
15116,25954
15118,60481
15122,4089
15125,10269
15130,24002
15131,9264
15134,6158
15136,3570
15139,12235
15140,18226
15142,18253
15144,4177
15146,1378689
15150,1084
15151,8062
15154,17121
15155,655
15157,20032
15158,4607
15159,13920
15164,4336
15165,1449
15166,46306
15167,6031
15168,27825
15169,11355
15170,11418
15171,23504
15172,9053
15173,15860
15175,37002
15176,8392
15177,6159
15178,8584
15179,7375
15181,14211
15182,50602
15183,4852
15184,6762
15185,4571
15188,5846
15189,42430
15191,7430
15192,32761
15194,6717
15195,38537
15200,5039
15201,8322
15202,4448
15204,12246
15205,35935
15206,21381
15209,81393
15210,7326
15211,20094
15213,14194
15219,5174
15220,21171
15221,12171
15222,3523
15224,5895
15226,7251
15229,9243
15230,9154
15235,3932
15236,3320
15237,9311
15242,16997
15243,9216
15244,4022
15246,1873
15247,6900
15248,6138
15249,5331
15250,11983
16001,2229
16002,822
16003,8294
16004,17805
16005,5538
16006,6295
16007,5674
16008,13655
16009,2370
16010,3258
16011,4849
16012,3458
16013,2711
16014,181
16015,563
16016,7597
16017,389
16018,4358
16019,698
16020,4250
16021,1984
16022,725
16023,2385
16024,121639
16025,1386
16026,604
16027,75
16028,6309
16029,6176
16030,10085
16031,6683
16032,1177
16033,986
16034,5151
16035,692
16036,711
16037,8562
16038,7852
16040,6008
16041,116
16042,5627
16043,6013
16044,5375
16046,8333
16047,4262
16048,606
16049,4438
16050,1241
16051,8158
16052,3072
16053,16259
16055,4738
16056,304
16057,4695
16058,4031
16059,4117
16060,3251
16061,108
16062,10432
16063,2820
16064,3419
