"istatId","name","month","d15","d16","d17","d18","d19","d20","istatMarch","ecoBG","bsToday","mar19","mar20","officialCovid","population","nameItSt","lng","lat"
"15024","Binasco","3","4","5","1","9","7","12","1",,,,,,"7158","Binasco","9.09965859","45.33219808"
"15027","Bollate","3","20","14","22","12","22","23","1",,,,,,"35557","Bollate","9.11765508","45.54384321"
"15032","Bresso","3","18","8","12","23","17","48","1",,,,,,"25712","Bresso","9.18762977","45.53760014"
"15038","Buscate","3","2","1","3","5","2","4","1",,,,,,"4751","Buscate","8.81258989","45.54600142"
"15040","Bussero","3","1","2","5","4","2","9","1",,,,,,"8532","Bussero","9.37205136","45.53791825"
"15044","Cambiago","3","5","2","3","3","4","6","1",,,,,,"6508","Cambiago","9.42416597","45.57336649"
"15046","Canegrate","3","6","15","6","5","8","10","1",,,,,,"12438","Canegrate","8.92457328","45.57254954"
"15051","Carugate","3","4","5","5","8","10","33","1",,,,,,"14175","Carugate","9.33843416","45.54960324"
"15059","Cassano d'Adda","3","14","9","13","4","10","15","1",,,,,,"18552","Cassano d'Adda","9.52054616","45.52652047"
"15062","Castano Primo","3","6","10","3","10","5","12","1",,,,,,"10990","Castano Primo","8.77635835","45.55121165"
"15070","Cernusco sul Naviglio","3","16","13","13","18","15","47","1",,,,,,"30697","Cernusco sul Naviglio","9.33502744","45.52420326"
"15072","Cerro Maggiore","3","8","12","10","10","10","12","1",,,,,,"14735","Cerro Maggiore","8.95071180","45.59344478"
"15074","Cesano Boscone","3","11","10","21","14","9","19","1",,,,,,"23398","Cesano Boscone","9.09327345","45.44593779"
"15076","Cesate","3","6","3","5","7","7","11","1",,,,,,"13858","Cesate","9.07544168","45.59500977"
"15077","Cinisello Balsamo","3","41","34","40","45","49","56","1",,,,,,"71128","Cinisello Balsamo","9.21357368","45.55836354"
"15081","Cologno Monzese","3","25","37","23","29","25","42","1",,,,,,"45786","Cologno Monzese","9.27516655","45.52979668"
"15085","Corbetta","3","7","7","7","4","5","12","1",,,,,,"17460","Corbetta","8.92189794","45.46753305"
"15086","Cormano","3","8","12","14","12","14","23","1",,,,,,"19944","Cormano","9.17254222","45.54301244"
"15096","Cuggiono","3","5","3","7","5","7","7","1",,,,,,"8142","Cuggiono","8.82157381","45.50692962"
"15099","Dairago","3","1","4","0","0","4","5","1",,,,,,"5862","Dairago","8.86615879","45.56810463"
"15101","Dresano","3","1","1","0","1","3","4","1",,,,,,"3023","Dresano","9.36121873","45.37386953"
"15103","Gaggiano","3","3","6","6","3","7","6","1",,,,,,"8933","Gaggiano","9.03451722","45.40571729"
"15106","Gessate","3","5","2","4","3","2","9","1",,,,,,"8664","Gessate","9.43675493","45.55548598"
"15113","Inveruno","3","5","8","3","8","5","9","1",,,,,,"8609","Inveruno","8.85360485","45.51294461"
"15114","Inzago","3","5","9","6","10","8","12","1",,,,,,"10540","Inzago","9.48224972","45.54114755"
"15116","Lainate","3","10","10","15","14","13","21","1",,,,,,"25054","Lainate","9.02714484","45.57145592"
"15118","Legnano","3","25","33","43","41","33","53","1",,,,,,"57647","Legnano","8.91854994","45.59413716"
"15125","Locate di Triulzi","3","4","3","5","5","4","8","1",,,,,,"9655","Locate di Triulzi","9.22117365","45.35766067"
"15130","Magenta","3","15","11","14","14","19","19","1",,,,,,"22877","Magenta","8.88342560","45.46610604"
"15131","Magnago","3","3","5","4","3","6","7","1",,,,,,"9085","Magnago","8.80052532","45.58059715"
"15139","Mediglia","3","8","8","4","5","9","59","1",,,,,,"12080","Mediglia","9.32377394","45.40122623"
"15140","Melegnano","3","17","6","16","11","13","21","1",,,,,,"16774","Melegnano","9.32425217","45.35753074"
"15142","Melzo","3","9","7","10","13","13","21","1",,,,,,"18203","Melzo","9.42398030","45.49793248"
"15146","Milano","3","829","769","867","832","885","1039","1",,,,,,"1242123","Milano","9.19034740","45.46679408"
"15157","Novate Milanese","3","8","6","7","12","13","12","1",,,,,,"19938","Novate Milanese","9.13588075","45.53282247"
"15158","Noviglio","3","0","3","1","1","1","6","1",,,,,,"4237","Noviglio","9.07078309","45.35609013"
